#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAMTS7	ADAMTS14	9606.ENSP00000373472	9606.ENSP00000362304	0	0	0	0.738	0.108	0	0.900	0.576	0.920
ADAMTS7	SPON1	9606.ENSP00000373472	9606.ENSP00000460236	0	0	0	0	0.062	0	0.900	0.063	0.904
ADAMTS7	ADAMTS9	9606.ENSP00000373472	9606.ENSP00000418735	0	0	0	0.722	0.083	0	0.900	0.635	0.920
ADAMTS7	ADAMTS12	9606.ENSP00000373472	9606.ENSP00000422554	0	0	0	0.925	0.124	0.379	0.900	0.825	0.944
ADAMTS9	TBX15	9606.ENSP00000418735	9606.ENSP00000207157	0	0	0	0	0	0.057	0	0.393	0.403
ADAMTS9	COMP	9606.ENSP00000418735	9606.ENSP00000222271	0	0	0	0	0	0.123	0	0.440	0.488
ADAMTS9	ADAMTS2	9606.ENSP00000418735	9606.ENSP00000251582	0	0	0	0.734	0.063	0	0.900	0.621	0.918
ADAMTS9	VCAN	9606.ENSP00000418735	9606.ENSP00000265077	0	0	0	0	0.062	0	0	0.580	0.589
ADAMTS9	TNFRSF21	9606.ENSP00000418735	9606.ENSP00000296861	0	0	0	0	0	0	0	0.453	0.453
ADAMTS9	C2CD4A	9606.ENSP00000418735	9606.ENSP00000347712	0	0	0	0	0.062	0	0	0.391	0.404
ADAMTS9	THBS2	9606.ENSP00000418735	9606.ENSP00000355751	0	0	0	0.541	0.089	0.123	0.900	0.208	0.920
ADAMTS9	ADAMTS14	9606.ENSP00000418735	9606.ENSP00000362304	0	0	0	0.711	0.063	0	0.900	0.650	0.920
ADAMTS9	IGF2BP2	9606.ENSP00000418735	9606.ENSP00000371634	0	0	0	0	0	0	0	0.668	0.668
ADAMTS9	ADAMTS7	9606.ENSP00000418735	9606.ENSP00000373472	0	0	0	0.722	0.083	0	0.900	0.635	0.920
ADAMTS9	CDKN2A	9606.ENSP00000418735	9606.ENSP00000418915	0	0	0	0	0	0.056	0	0.395	0.404
ADAMTS9	SPON1	9606.ENSP00000418735	9606.ENSP00000460236	0	0	0	0.552	0.096	0	0.900	0.097	0.908
ADAMTS9	ADAMTS12	9606.ENSP00000418735	9606.ENSP00000422554	0	0	0	0.732	0.097	0	0.900	0.745	0.924
ADCY8	CYSLTR2	9606.ENSP00000286355	9606.ENSP00000282018	0	0	0	0	0	0	0.650	0	0.650
ADCY8	SPOCK1	9606.ENSP00000286355	9606.ENSP00000378401	0	0	0	0	0.154	0	0	0.320	0.401
ADCY8	KCNQ3	9606.ENSP00000286355	9606.ENSP00000373648	0	0	0	0	0.174	0.057	0	0.368	0.465
ADCY8	GAP43	9606.ENSP00000286355	9606.ENSP00000377372	0	0	0	0	0.293	0	0	0.275	0.466
ADCY8	ENTPD8	9606.ENSP00000286355	9606.ENSP00000360561	0	0	0	0	0.052	0	0.650	0.059	0.660
ADCY8	ENTPD1	9606.ENSP00000286355	9606.ENSP00000360250	0	0	0	0	0.052	0	0.650	0.059	0.660
ADCY8	ENPP3	9606.ENSP00000286355	9606.ENSP00000406261	0	0	0	0	0.062	0	0.650	0.058	0.663
ADCY8	ADRA2C	9606.ENSP00000286355	9606.ENSP00000386069	0	0	0	0	0.083	0.056	0.650	0.113	0.695
ADCY8	ENTPD2	9606.ENSP00000286355	9606.ENSP00000347213	0	0	0	0	0.052	0	0.650	0.246	0.728
ADCY8	PDE9A	9606.ENSP00000286355	9606.ENSP00000291539	0	0	0	0	0.108	0.161	0.650	0.107	0.734
ADCY8	PDE5A	9606.ENSP00000286355	9606.ENSP00000347046	0	0	0	0	0.108	0.161	0.650	0.288	0.788
ADCY8	PDE4C	9606.ENSP00000286355	9606.ENSP00000347689	0	0	0	0	0.108	0.161	0.650	0.369	0.812
ADCY8	PDE1C	9606.ENSP00000286355	9606.ENSP00000379496	0	0	0	0	0.132	0	0.650	0.465	0.823
ADM	GDF15	9606.ENSP00000436607	9606.ENSP00000252809	0	0	0	0	0.076	0	0	0.469	0.488
ADM	LGALS3	9606.ENSP00000436607	9606.ENSP00000254301	0	0	0	0	0.088	0	0	0.395	0.424
ADM	RAMP1	9606.ENSP00000436607	9606.ENSP00000254661	0	0	0	0	0	0.417	0.800	0.926	0.990
ADM	TM4SF1	9606.ENSP00000436607	9606.ENSP00000304277	0	0	0	0	0.076	0	0	0.623	0.636
ADM	CXCL8	9606.ENSP00000436607	9606.ENSP00000306512	0	0	0	0	0.088	0	0	0.392	0.421
ADM	CALCB	9606.ENSP00000436607	9606.ENSP00000433490	0	0	0	0	0	0	0.800	0.764	0.950
ADORA1	PPP1R1B	9606.ENSP00000356205	9606.ENSP00000254079	0	0	0	0	0.168	0	0	0.390	0.470
ADORA1	NT5E	9606.ENSP00000356205	9606.ENSP00000257770	0	0	0	0	0	0	0	0.805	0.805
ADORA1	CLU	9606.ENSP00000356205	9606.ENSP00000315130	0	0	0	0	0.110	0	0	0.357	0.403
ADORA1	ENTPD2	9606.ENSP00000356205	9606.ENSP00000347213	0	0	0	0	0.078	0	0	0.651	0.664
ADORA1	GAP43	9606.ENSP00000356205	9606.ENSP00000377372	0	0	0	0	0.154	0	0	0.356	0.431
ADORA1	LAMB3	9606.ENSP00000356205	9606.ENSP00000375778	0	0	0	0	0	0	0	0.433	0.433
ADORA1	GRM4	9606.ENSP00000356205	9606.ENSP00000440556	0	0	0	0	0.107	0.056	0	0.391	0.442
ADORA1	LTBP1	9606.ENSP00000356205	9606.ENSP00000386043	0	0	0	0	0	0	0	0.535	0.535
ADORA1	ENTPD8	9606.ENSP00000356205	9606.ENSP00000360561	0	0	0	0	0	0	0	0.545	0.545
ADORA1	GREB1	9606.ENSP00000356205	9606.ENSP00000370896	0	0	0	0	0	0	0	0.586	0.586
ADORA1	P2RY6	9606.ENSP00000356205	9606.ENSP00000480966	0	0	0	0	0.062	0	0	0.611	0.619
ADORA1	ENTPD1	9606.ENSP00000356205	9606.ENSP00000360250	0	0	0	0	0	0	0	0.755	0.755
ADRA1B	TGM1	9606.ENSP00000306662	9606.ENSP00000206765	0	0	0	0	0	0	0	0.462	0.462
ADRA1B	TGM2	9606.ENSP00000306662	9606.ENSP00000355330	0	0	0	0	0.077	0	0.900	0.668	0.966
ADRA2C	ADCY8	9606.ENSP00000386069	9606.ENSP00000286355	0	0	0	0	0.083	0.056	0.650	0.113	0.695
ADRA2C	SFTPB	9606.ENSP00000386069	9606.ENSP00000386346	0	0	0	0	0	0	0.900	0	0.900
ADTRP	GDF6	9606.ENSP00000229583	9606.ENSP00000287020	0	0	0	0	0	0	0	0.433	0.433
ADTRP	C1orf226	9606.ENSP00000229583	9606.ENSP00000413150	0	0	0	0	0	0	0	0.512	0.512
AGR2	CEACAM6	9606.ENSP00000391490	9606.ENSP00000199764	0	0	0	0	0.332	0	0	0.204	0.445
AGR2	ERP27	9606.ENSP00000391490	9606.ENSP00000266397	0	0	0	0	0	0	0	0.416	0.416
AGR2	B3GNT3	9606.ENSP00000391490	9606.ENSP00000321874	0	0	0	0	0.347	0	0	0.233	0.477
AGR2	SFN	9606.ENSP00000391490	9606.ENSP00000340989	0	0	0	0	0.213	0.114	0	0.236	0.420
AGR2	ELF3	9606.ENSP00000391490	9606.ENSP00000352673	0	0	0	0	0.522	0	0	0.181	0.592
AGR2	KRT19	9606.ENSP00000391490	9606.ENSP00000355124	0	0	0	0	0.338	0	0	0.378	0.570
AGR2	S100A6	9606.ENSP00000391490	9606.ENSP00000357709	0	0	0	0	0	0.270	0	0.218	0.404
AGR2	TACSTD2	9606.ENSP00000391490	9606.ENSP00000360269	0	0	0	0	0.279	0	0	0.202	0.401
AGR2	MUC1	9606.ENSP00000391490	9606.ENSP00000484824	0	0	0	0	0.213	0	0	0.321	0.442
AHNAK2	TMPRSS4	9606.ENSP00000353114	9606.ENSP00000477949	0	0	0	0	0	0	0	0.400	0.400
ALDH1A3	RDH5	9606.ENSP00000332256	9606.ENSP00000257895	0	0	0	0	0.049	0	0.900	0.547	0.953
ALDH1A3	CYP2S1	9606.ENSP00000332256	9606.ENSP00000308032	0	0	0	0	0	0.061	0.900	0.125	0.910
ALDH1A3	IGF2BP2	9606.ENSP00000332256	9606.ENSP00000371634	0	0	0	0	0.423	0	0	0.073	0.442
ALDH1A3	CYP1B1	9606.ENSP00000332256	9606.ENSP00000478561	0	0	0	0	0.079	0.061	0	0.440	0.474
ALDH1A3	CRABP2	9606.ENSP00000332256	9606.ENSP00000482841	0	0	0	0	0.083	0	0	0.524	0.545
ALDH1A3	STRA6	9606.ENSP00000332256	9606.ENSP00000456609	0	0	0	0	0	0	0	0.718	0.718
ALDH1A3	DHRS3	9606.ENSP00000332256	9606.ENSP00000480439	0	0	0	0	0.083	0.105	0.900	0.479	0.951
ALDH3B1	CYP1B1	9606.ENSP00000473990	9606.ENSP00000478561	0	0	0	0	0.062	0.061	0	0.428	0.452
ALOX15B	ALOX5	9606.ENSP00000369530	9606.ENSP00000363512	0	0	0	0.919	0.096	0	0.900	0.788	0.911
ALOX5	APOE	9606.ENSP00000363512	9606.ENSP00000252486	0	0	0	0	0	0	0	0.413	0.412
ALOX5	ICAM1	9606.ENSP00000363512	9606.ENSP00000264832	0	0	0	0	0.060	0	0	0.408	0.419
ALOX5	CYSLTR2	9606.ENSP00000363512	9606.ENSP00000282018	0	0	0	0	0.069	0	0	0.757	0.764
ALOX5	CXCL8	9606.ENSP00000363512	9606.ENSP00000306512	0	0	0	0	0	0	0	0.506	0.506
ALOX5	ALOX15B	9606.ENSP00000363512	9606.ENSP00000369530	0	0	0	0.919	0.096	0	0.900	0.788	0.911
ALPL	COL1A1	9606.ENSP00000363973	9606.ENSP00000225964	0	0	0	0	0	0	0	0.758	0.758
ALPL	NT5E	9606.ENSP00000363973	9606.ENSP00000257770	0.076	0	0	0	0.052	0	0	0.510	0.533
ALPL	COL1A2	9606.ENSP00000363973	9606.ENSP00000297268	0	0	0	0	0.062	0	0	0.503	0.513
ALPL	COL10A1	9606.ENSP00000363973	9606.ENSP00000327368	0	0	0	0	0	0	0	0.616	0.616
ALPL	ENTPD2	9606.ENSP00000363973	9606.ENSP00000347213	0	0	0	0	0.062	0	0	0.423	0.436
ALPL	RUNX2	9606.ENSP00000363973	9606.ENSP00000360493	0	0	0	0	0	0	0	0.832	0.832
ALPL	ENPP3	9606.ENSP00000363973	9606.ENSP00000406261	0.045	0	0	0	0.062	0	0	0.395	0.411
ALPL	PHEX	9606.ENSP00000363973	9606.ENSP00000368682	0	0	0	0	0	0	0	0.632	0.632
ALPL	GGT6	9606.ENSP00000363973	9606.ENSP00000370962	0	0	0	0	0	0	0	0.655	0.655
AMIGO2	FOXQ1	9606.ENSP00000266581	9606.ENSP00000296839	0	0	0	0	0.058	0	0	0.447	0.457
ANGPTL4	APOE	9606.ENSP00000301455	9606.ENSP00000252486	0	0	0	0	0.083	0.077	0	0.413	0.460
ANGPTL4	CXCL8	9606.ENSP00000301455	9606.ENSP00000306512	0	0	0	0	0.062	0	0	0.414	0.426
ANGPTL4	P4HA2	9606.ENSP00000301455	9606.ENSP00000384999	0	0	0	0	0.070	0	0	0.434	0.451
ANGPTL4	F2R	9606.ENSP00000301455	9606.ENSP00000321326	0	0	0	0	0	0	0	0.489	0.489
ANGPTL4	FN1	9606.ENSP00000301455	9606.ENSP00000346839	0	0	0	0	0.078	0.121	0	0.685	0.723
ANGPTL4	LPL	9606.ENSP00000301455	9606.ENSP00000309757	0	0	0	0	0.062	0.297	0.900	0.885	0.991
ANPEP	NGFR	9606.ENSP00000300060	9606.ENSP00000172229	0	0	0	0	0	0	0	0.481	0.481
ANPEP	FAP	9606.ENSP00000300060	9606.ENSP00000188790	0.049	0	0	0	0.094	0	0	0.366	0.406
ANPEP	CEACAM6	9606.ENSP00000300060	9606.ENSP00000199764	0	0	0	0	0.065	0	0	0.409	0.424
ANPEP	LGALS3	9606.ENSP00000300060	9606.ENSP00000254301	0	0	0	0	0.102	0	0	0.967	0.969
ANPEP	NT5E	9606.ENSP00000300060	9606.ENSP00000257770	0	0	0	0	0.118	0	0	0.821	0.836
ANPEP	ICAM1	9606.ENSP00000300060	9606.ENSP00000264832	0	0	0	0	0.098	0	0	0.530	0.557
ANPEP	GGCT	9606.ENSP00000300060	9606.ENSP00000275428	0	0	0	0	0.062	0	0.900	0.045	0.902
ANPEP	CD1A	9606.ENSP00000300060	9606.ENSP00000289429	0	0	0	0	0.076	0	0	0.566	0.581
ANPEP	ITGA2	9606.ENSP00000300060	9606.ENSP00000296585	0	0	0	0	0.111	0	0	0.426	0.468
ANPEP	ENPP3	9606.ENSP00000300060	9606.ENSP00000406261	0	0	0	0	0.064	0	0	0.402	0.416
ANPEP	CXCL8	9606.ENSP00000300060	9606.ENSP00000306512	0	0	0	0	0.143	0	0	0.399	0.463
ANPEP	FN1	9606.ENSP00000300060	9606.ENSP00000346839	0	0	0	0	0.087	0	0	0.451	0.477
ANPEP	DPP4	9606.ENSP00000300060	9606.ENSP00000353731	0.049	0	0	0	0.120	0	0	0.761	0.783
ANPEP	TM4SF1	9606.ENSP00000300060	9606.ENSP00000304277	0	0	0	0	0.085	0.213	0	0.831	0.868
ANPEP	GGT6	9606.ENSP00000300060	9606.ENSP00000370962	0	0	0	0	0.062	0	0.900	0.481	0.947
ANPEP	SFN	9606.ENSP00000300060	9606.ENSP00000340989	0	0	0	0	0.062	0.849	0	0.853	0.977
AOC1	RET	9606.ENSP00000411613	9606.ENSP00000347942	0	0	0	0	0	0	0	0.539	0.539
AOC1	HRH1	9606.ENSP00000411613	9606.ENSP00000380247	0	0	0	0	0	0	0	0.518	0.518
APLN	MDFI	9606.ENSP00000391800	9606.ENSP00000230321	0	0	0	0	0.076	0.395	0	0	0.417
APLN	APLNR	9606.ENSP00000391800	9606.ENSP00000475344	0	0	0	0	0.124	0.213	0.600	0.990	0.997
APLNR	GPR162	9606.ENSP00000475344	9606.ENSP00000311528	0	0	0	0	0.098	0	0	0.413	0.447
APLNR	OPCML	9606.ENSP00000475344	9606.ENSP00000330862	0	0	0	0	0.196	0	0	0.398	0.495
APLNR	GJA4	9606.ENSP00000475344	9606.ENSP00000343676	0	0	0	0	0.279	0	0	0.267	0.448
APLNR	APLN	9606.ENSP00000475344	9606.ENSP00000391800	0	0	0	0	0.124	0.213	0.600	0.990	0.997
APOE	TIMP1	9606.ENSP00000252486	9606.ENSP00000218388	0	0	0	0	0	0	0	0.470	0.470
APOE	TREM1	9606.ENSP00000252486	9606.ENSP00000244709	0	0	0	0	0	0.270	0	0.442	0.575
APOE	C3	9606.ENSP00000252486	9606.ENSP00000245907	0	0	0	0	0.138	0	0	0.563	0.607
APOE	ALOX5	9606.ENSP00000252486	9606.ENSP00000363512	0	0	0	0	0	0	0	0.413	0.412
APOE	LCN2	9606.ENSP00000252486	9606.ENSP00000362108	0	0	0	0	0	0	0	0.418	0.418
APOE	MLXIPL	9606.ENSP00000252486	9606.ENSP00000320886	0	0	0	0	0.069	0	0	0.403	0.420
APOE	DPP4	9606.ENSP00000252486	9606.ENSP00000353731	0	0	0	0	0.062	0	0	0.416	0.429
APOE	KL	9606.ENSP00000252486	9606.ENSP00000369442	0	0	0	0	0.082	0	0	0.422	0.446
APOE	ANGPTL4	9606.ENSP00000252486	9606.ENSP00000301455	0	0	0	0	0.083	0.077	0	0.413	0.460
APOE	TYRO3	9606.ENSP00000252486	9606.ENSP00000263798	0	0	0	0	0.071	0	0	0.447	0.464
APOE	NPC2	9606.ENSP00000252486	9606.ENSP00000451112	0	0	0	0	0	0	0	0.468	0.468
APOE	CHI3L1	9606.ENSP00000252486	9606.ENSP00000255409	0	0	0	0	0.088	0	0	0.456	0.482
APOE	LRRK2	9606.ENSP00000252486	9606.ENSP00000298910	0	0	0	0	0	0	0	0.505	0.505
APOE	LGALS3	9606.ENSP00000252486	9606.ENSP00000254301	0	0	0	0	0	0	0	0.510	0.510
APOE	NOX4	9606.ENSP00000252486	9606.ENSP00000263317	0	0	0	0	0	0	0	0.512	0.512
APOE	DLG4	9606.ENSP00000252486	9606.ENSP00000382428	0	0	0	0	0.066	0	0	0.501	0.514
APOE	S100B	9606.ENSP00000252486	9606.ENSP00000291700	0	0	0	0	0.084	0	0	0.504	0.526
APOE	FN1	9606.ENSP00000252486	9606.ENSP00000346839	0	0	0	0	0.069	0	0	0.530	0.544
APOE	CXCL8	9606.ENSP00000252486	9606.ENSP00000306512	0	0	0	0	0	0	0	0.548	0.548
APOE	CLDN1	9606.ENSP00000252486	9606.ENSP00000295522	0	0	0	0	0.062	0	0	0.551	0.561
APOE	LRP4	9606.ENSP00000252486	9606.ENSP00000367888	0	0	0	0	0.094	0.056	0	0.529	0.562
APOE	SPON1	9606.ENSP00000252486	9606.ENSP00000460236	0	0	0	0	0.063	0	0	0.596	0.605
APOE	SERPINA1	9606.ENSP00000252486	9606.ENSP00000416066	0	0	0	0	0.062	0	0	0.603	0.611
APOE	ICAM1	9606.ENSP00000252486	9606.ENSP00000264832	0	0	0	0	0.062	0	0	0.673	0.680
APOE	SAA1	9606.ENSP00000252486	9606.ENSP00000384906	0	0	0	0	0	0	0.540	0.508	0.764
APOE	SDC4	9606.ENSP00000252486	9606.ENSP00000361818	0	0	0	0	0.062	0	0.600	0.444	0.773
APOE	LPL	9606.ENSP00000252486	9606.ENSP00000309757	0	0	0	0	0.098	0	0.900	0.869	0.987
APOE	CLU	9606.ENSP00000252486	9606.ENSP00000315130	0	0	0	0	0.099	0	0.720	0.955	0.987
APOE	HP	9606.ENSP00000252486	9606.ENSP00000348170	0	0	0	0	0.062	0.413	0.720	0.947	0.990
AQP5	CCND1	9606.ENSP00000293599	9606.ENSP00000227507	0	0	0	0	0.059	0	0	0.441	0.451
AQP5	MDFI	9606.ENSP00000293599	9606.ENSP00000230321	0	0	0	0	0.076	0.399	0	0	0.420
AQP5	PLAG1	9606.ENSP00000293599	9606.ENSP00000325546	0	0	0	0	0.063	0.061	0	0.400	0.426
AQP5	SFTPA2	9606.ENSP00000293599	9606.ENSP00000361400	0	0	0	0	0.090	0	0	0.617	0.636
AQP5	SFTPB	9606.ENSP00000293599	9606.ENSP00000386346	0	0	0	0	0.064	0	0	0.661	0.669
AQP5	SFTPA1	9606.ENSP00000293599	9606.ENSP00000397082	0	0	0	0	0.063	0	0	0.663	0.671
ARHGAP23	RAPGEF5	9606.ENSP00000481862	9606.ENSP00000343656	0	0	0	0	0.076	0.395	0	0.041	0.417
